signal_id,source_code,source_type,category_code,product_terms,buying_action,title,description_raw,specs_present,quantity_raw,destination_present,buyer_name_raw,contact_person_raw,buyer_country_raw,buyer_country_code,buyer_domain,registration_id,public_business_emails,public_business_phones,published_at,observed_at,age_days,time_precision,evidence_url,listing_url,evidence_excerpt,snapshot_sha256,data_mode,verification_status,contact_gate,d1_demand_explicitness,d2_entity_authenticity,d3_recency,d4_corroboration,truth_score,truth_level,hard_gate_pass,qualification_status,dedupe_fingerprint,ruleset_version,duplicate_count,duplicate_source_codes
2b4276f6d7adeeee4841062cea8acfad,tradekey,B2B_MARKETPLACE_RFQ,BLUEBERRY,BLUEBERRY,RFQ_OR_BUY_OFFER,Long-Term Supply Opportunity for Blueberry,"Long-Term Supply Opportunity for Blueberry We intend to source Blueberry and require a detailed offer. Please state raw materials, grade, sizes or variants, performance characteristics, manufacturing standard, packaging, sample policy, MOQ ... Tags: Blueberry | Blueberry Supplier | Bulk Blueberry | Blueberry Manufacturer | Blueberry Exporter | Blueberry Importer | Blueberry Wholesale | Blueberry Quotation | Blueberry Distributor | Blueberry Sourcing This buyer wants to receive quotations only from Premium Members . UAE Posted on: 08 Aug 2026 Contact Buyer now",True,,False,,,,,,,,,2026-08-08,2026-08-28T06:03:46+00:00,20,DATE,https://importer.tradekey.com/buyoffer/Long-Term-Supply-Opportunity-For-Blueberry-3843915.html,https://www.tradekey.com/blueberry-buyer/,"Long-Term Supply Opportunity for Blueberry We intend to source Blueberry and require a detailed offer. Please state raw materials, grade, sizes or variants, performance characteristics, manufacturing standard, packaging, sample policy, MOQ ... Tags: Blueberry | Blueberry Supplier | Bulk Blueberry | Blueberry Manufacturer | Blueberry Exporter | Blueberry Importer | Blueberry Wholesale | Blueberry Quotation | Blueberry Distributor | Blueberry Sourcing This buyer wants to receive quotations only from Premium Members . UAE Posted on: 08 Aug 2026 Contact Buyer now",18781da04fd614f3998c26fd27e79ac930be8af24bf868c61eda3567838c8a0d,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,25,0,18,4,47,C,True,NEEDS_VERIFICATION,6dac371b88c2d02af81d3541be517925a36b07a2a55cd7e64cf4fe9ec885d2ee,truth-v1.0.0,1,tradekey
7f9125cb330b496d6c16af5338584fa6,tradekey,B2B_MARKETPLACE_RFQ,BLUEBERRY,BLUEBERRY,RFQ_OR_BUY_OFFER,Regular Import Requirement for Blueberry,Regular Import Requirement for Blueberry We intend to source Blueberry and request a complete commercial quotation. Main requirements: • Initial quantity: **0 pieces • Material/grade: specify exact composition and quality standard • Dime... This buyer wants to receive quotations only from Premium Members . UAE Posted on: 17 Aug 2026 Contact Buyer now,True,,False,,,,,,,,,2026-08-17,2026-08-28T06:03:46+00:00,11,DATE,https://importer.tradekey.com/buyoffer/Regular-Import-Requirement-For-Blueberry-3843909.html,https://www.tradekey.com/blueberry-buyer/,Regular Import Requirement for Blueberry We intend to source Blueberry and request a complete commercial quotation. Main requirements: • Initial quantity: **0 pieces • Material/grade: specify exact composition and quality standard • Dime... This buyer wants to receive quotations only from Premium Members . UAE Posted on: 17 Aug 2026 Contact Buyer now,18781da04fd614f3998c26fd27e79ac930be8af24bf868c61eda3567838c8a0d,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,25,0,18,4,47,C,True,NEEDS_VERIFICATION,9d7ce995133e3d25963fd60f703a85dae09aacb8c595dc8c960b7f4e2f380987,truth-v1.0.0,1,tradekey
47e82c892cd2414dbe1d3507874b833a,tradekey,B2B_MARKETPLACE_RFQ,BLUEBERRY,BLUEBERRY,RFQ_OR_BUY_OFFER,Blueberry Concentrate Buy,"Blueberry Concentrate Buy I am Celeste from Cinnamon Lab, a global wellness company in Korea. My company is looking for suppliers of blueberry concentrate for our business partner in Canada and the USA. May I get a quote (p... Tags: Blueberry Concentrate This buyer wants to receive quotations only from Premium Members . South Korea Posted on: 12 Aug 2026 Contact Buyer now",False,,False,,,,,,,,,2026-08-12,2026-08-28T06:03:46+00:00,16,DATE,https://importer.tradekey.com/buyoffer/Blueberry-Concentrate-Buy-3770553.html,https://www.tradekey.com/blueberry-buyer/,"Blueberry Concentrate Buy I am Celeste from Cinnamon Lab, a global wellness company in Korea. My company is looking for suppliers of blueberry concentrate for our business partner in Canada and the USA. May I get a quote (p... Tags: Blueberry Concentrate This buyer wants to receive quotations only from Premium Members . South Korea Posted on: 12 Aug 2026 Contact Buyer now",18781da04fd614f3998c26fd27e79ac930be8af24bf868c61eda3567838c8a0d,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,20,0,18,4,42,C,True,NEEDS_VERIFICATION,461051b4d1346c17dc77b2dc25c2afd811659afc2c36a50da8e5fc89585f5916,truth-v1.0.0,1,tradekey
7e1536b936a97bb16103ba6b0a61d2dc,tradekey,B2B_MARKETPLACE_RFQ,BLUEBERRY,BLUEBERRY,RFQ_OR_BUY_OFFER,"Want to purchase AVOCADOS, BLUEBERRIES, PEAR, APPLE,CHERRIES,RUSSBE...","Want to purchase AVOCADOS, BLUEBERRIES, PEAR, APPLE,CHERRIES,RUSSBE... Name: AIMAN ALI Email: *******@*************************8 Buying Products: AVOCADOS, BLUEBERRIES, PEAR, APPLE,CHERRIES,RUSSBERRIES Country: UAE Tags: AVOCADOS | BLUEBERRIES | PEAR | APPLE | CHERRIES | RUSSBERRIES This buyer wants to receive quotations only from Premium Members . UAE Posted on: 13 Aug 2026 Contact Buyer now",False,,False,,,,,,,,,2026-08-13,2026-08-28T06:03:46+00:00,15,DATE,https://importer.tradekey.com/buyoffer/Want-To-Purchase-AVOCADOS-BLUEBERRIES-PEAR-APPLE-CHERRIES-RUSSBERRIES-3777613.html,https://www.tradekey.com/blueberry-buyer/,"Want to purchase AVOCADOS, BLUEBERRIES, PEAR, APPLE,CHERRIES,RUSSBE... Name: AIMAN ALI Email: *******@*************************8 Buying Products: AVOCADOS, BLUEBERRIES, PEAR, APPLE,CHERRIES,RUSSBERRIES Country: UAE Tags: AVOCADOS | BLUEBERRIES | PEAR | APPLE | CHERRIES | RUSSBERRIES This buyer wants to receive quotations only from Premium Members . UAE Posted on: 13 Aug 2026 Contact Buyer now",18781da04fd614f3998c26fd27e79ac930be8af24bf868c61eda3567838c8a0d,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,20,0,18,4,42,C,True,NEEDS_VERIFICATION,1dd8414a118d0f1a82457d37dcb7e4f265d35d36f22297953e09e0ff3d436eff,truth-v1.0.0,1,tradekey
ab025fd03476b3552c26c82b82ba3562,tradekey,B2B_MARKETPLACE_RFQ,BLUEBERRY,BLUEBERRY,RFQ_OR_BUY_OFFER,Need blueberry,Need blueberry Name: Rowan Rowan Email: *******@******************************1 Buying Products: blueberry Country: Libya This buyer wants to receive quotations only from Premium Members . Libya Posted on: 15 Aug 2026 Contact Buyer now,False,,False,,,,,,,,,2026-08-15,2026-08-28T06:03:46+00:00,13,DATE,https://importer.tradekey.com/buyoffer/Need-Blueberry-3774549.html,https://www.tradekey.com/blueberry-buyer/,Need blueberry Name: Rowan Rowan Email: *******@******************************1 Buying Products: blueberry Country: Libya This buyer wants to receive quotations only from Premium Members . Libya Posted on: 15 Aug 2026 Contact Buyer now,18781da04fd614f3998c26fd27e79ac930be8af24bf868c61eda3567838c8a0d,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,20,0,18,4,42,C,True,NEEDS_VERIFICATION,b255f4a0a4d689c8ae752425d40c2aa2013ea1402a8d394f0de8a177fe27c45e,truth-v1.0.0,1,tradekey
abaf24afc7bfb690abddd32c4f695168,tradekey,B2B_MARKETPLACE_RFQ,BLUEBERRY,BLUEBERRY,RFQ_OR_BUY_OFFER,Blueberry required,Blueberry required Need blueberry for muscat Oman please quote price for 3 pallets to Oman. This buyer wants to receive quotations only from Premium Members . Oman Posted on: 04 Aug 2026 Contact Buyer now,False,,False,,,,,,,,,2026-08-04,2026-08-28T06:03:46+00:00,24,DATE,https://importer.tradekey.com/buyoffer/Blueberry-Required-3772073.html,https://www.tradekey.com/blueberry-buyer/,Blueberry required Need blueberry for muscat Oman please quote price for 3 pallets to Oman. This buyer wants to receive quotations only from Premium Members . Oman Posted on: 04 Aug 2026 Contact Buyer now,18781da04fd614f3998c26fd27e79ac930be8af24bf868c61eda3567838c8a0d,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,20,0,18,4,42,C,True,NEEDS_VERIFICATION,51159d08798878c91406a0229f0aea14b7d749fa78f364c1eb79febf243238bd,truth-v1.0.0,1,tradekey
0363e837fc9a023423f8ffab32d08891,go4worldbusiness,B2B_MARKETPLACE_RFQ,MATCHA,MATCHA,RFQ_OR_BUY_OFFER,Wanted : Tea Like Sencha And Matcha Tea,"VERIFIED Aug-04-26 Wanted : Tea Like Sencha And Matcha Tea Buyer From Japan Quantity Required: 1 - 5 Kilograms Payment Terms: L/C Destination: Japan Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please provide a quotation to the following requirement from importer - Product Name: Tea Specifications : Type: Sencha And Matcha Tea Ceremonial Or Premium Okimidori Matcha Quantity - 1 - 5 Kg As Sample Later 500 Kg HS Code: 090230, 090220 Quantity Required : 1 - 5 Kilogram/Kilograms(sample) Shipping Terms : CIF Destination Port : Japan Payment Terms : L/C Looking for suppliers from : Worldwide Contact : Praise Buyer Of Tea | Matcha Tea",True,,True,,Praise Buyer Of Tea,Japan Quantity Required,,,,,,,2026-08-28T06:04:52+00:00,,UNKNOWN,https://www.go4worldbusiness.com/buylead/view/1314744/wanted-:-tea-like-sencha-and-matcha-tea.html,https://www.go4worldbusiness.com/buyers/matcha.html,"VERIFIED Aug-04-26 Wanted : Tea Like Sencha And Matcha Tea Buyer From Japan Quantity Required: 1 - 5 Kilograms Payment Terms: L/C Destination: Japan Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please provide a quotation to the following requirement from importer - Product Name: Tea Specifications : Type: Sencha And Matcha Tea Ceremonial Or Premium Okimidori Matcha Quantity - 1 - 5 Kg As Sample Later 500 Kg HS Code: 090230, 090220 Quantity Required : 1 - 5 Kilogram/Kilograms(sample) Shipping Terms : CIF Destination Port : Japan Payment Terms : L/C Looking for suppliers from : Worldwide Contact : Praise Buyer Of Tea | Matcha Tea",00a175fc109b848b59a514d3d508f6f448cc21d719e4cf29533068e590940ecc,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,0,0,4,39,D,True,BACKGROUND_OR_STALE,c26951c8ed6498e8779855907388770f93ea4b2d4ceded5a5d9fad1d4c43e835,truth-v1.0.0,1,go4worldbusiness
22423ea87acdaccf662fe6afc04b9d05,go4worldbusiness,B2B_MARKETPLACE_RFQ,BLUEBERRY,BLUEBERRY,RFQ_OR_BUY_OFFER,"Wanted : Fresh Organic Fruits Like Blueberries, Apples And Pears","VERIFIED Jun-01-26 Wanted : Fresh Organic Fruits Like Blueberries, Apples And Pears Buyer From United States Quantity Required: 1 Ton Payment Terms: Bank Transfer Destination: United States Looking for suppliers from: United States Inquire Now Add to Favorites Product Description Buyer is interested to receive quotations for the following RFQ - Product Name: Fresh Organic Fruits Specifications : Type: Strawberries, Blueberries, Apples, Pears, Peaches & Others Quantity Required : 1 Ton/Tons Shipping Terms : FOB Destination Port : United States Payment Terms : Bank Transfer Looking for suppliers from : United States Contact : Naturapolis Buyer Of Fresh Fruits | Apple | Pear | Organic Fruits | Berries | Blueberry",True,,True,,Naturapolis Buyer Of Fresh Fruits,United States Quantity Required,,,,,,,2026-08-28T06:04:57+00:00,,UNKNOWN,https://www.go4worldbusiness.com/buylead/view/1301747/wanted-:-fresh-organic-fruits-like-blueberries-apples-and-pears.html,https://www.go4worldbusiness.com/buyers/blueberries.html,"VERIFIED Jun-01-26 Wanted : Fresh Organic Fruits Like Blueberries, Apples And Pears Buyer From United States Quantity Required: 1 Ton Payment Terms: Bank Transfer Destination: United States Looking for suppliers from: United States Inquire Now Add to Favorites Product Description Buyer is interested to receive quotations for the following RFQ - Product Name: Fresh Organic Fruits Specifications : Type: Strawberries, Blueberries, Apples, Pears, Peaches & Others Quantity Required : 1 Ton/Tons Shipping Terms : FOB Destination Port : United States Payment Terms : Bank Transfer Looking for suppliers from : United States Contact : Naturapolis Buyer Of Fresh Fruits | Apple | Pear | Organic Fruits | Berries | Blueberry",f28812c7b5a03c6b48671c7ebf31108fe023d3b73aa1645c304d2ae4e05daa86,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,0,0,4,39,D,True,BACKGROUND_OR_STALE,99100a3e92f47e29f88df2a43f98992c0eae0e0c6c77d7f26eaac8f23f9b3930,truth-v1.0.0,1,go4worldbusiness
243fc2d16e80ce134620278fd4558dbc,go4worldbusiness,B2B_MARKETPLACE_RFQ,TEA,TEA,RFQ_OR_BUY_OFFER,"Wanted : Tea Like Cacao Tea, Hu Sen Tea","VERIFIED Aug-11-26 Wanted : Tea Like Cacao Tea, Hu Sen Tea Buyer From Japan Quantity Required: 1 Less than Container Load Payment Terms: LC/ TT/ CAD (open to all) Destination: Japan, Japan Looking for suppliers from: Japan, Viet Nam, Brazil Inquire Now Add to Favorites Product Description Buyer is interested to receive quotations for the following RFQ - Product Name: Tea Like Cacao Tea, Hu Sen Tea Specifications: Cacao Tea from japan Hu Sen tea from vietman Mate tea from brazil package for 30 grams Quantity : 30 kg -40 kg each initiaally later LCL Packaging Terms : package for 30 grams Quantity Required : 1 Less than Container Load/LCL Shipping Terms : FOB Destination Port : Japan, Japan Payment Terms : LC/ TT/ CAD (open to all) Looking for suppliers from : Japan, Viet Nam, Brazil Contact : Mr. Koseko Buyer Of Tea",True,,True,,Mr. Koseko Buyer Of Tea,Japan Quantity Required,,,,,,,2026-08-28T06:05:07+00:00,,UNKNOWN,https://www.go4worldbusiness.com/buylead/view/1316173/wanted-:-tea-like-cacao-tea-hu-sen-tea.html,https://www.go4worldbusiness.com/buyers/tea.html,"VERIFIED Aug-11-26 Wanted : Tea Like Cacao Tea, Hu Sen Tea Buyer From Japan Quantity Required: 1 Less than Container Load Payment Terms: LC/ TT/ CAD (open to all) Destination: Japan, Japan Looking for suppliers from: Japan, Viet Nam, Brazil Inquire Now Add to Favorites Product Description Buyer is interested to receive quotations for the following RFQ - Product Name: Tea Like Cacao Tea, Hu Sen Tea Specifications: Cacao Tea from japan Hu Sen tea from vietman Mate tea from brazil package for 30 grams Quantity : 30 kg -40 kg each initiaally later LCL Packaging Terms : package for 30 grams Quantity Required : 1 Less than Container Load/LCL Shipping Terms : FOB Destination Port : Japan, Japan Payment Terms : LC/ TT/ CAD (open to all) Looking for suppliers from : Japan, Viet Nam, Brazil Contact : Mr. Koseko Buyer Of Tea",8cf8c1e57a21564b99ebfaaa9d599cb004ad5a6f7933aefd90ebb87b8ab580e5,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,0,0,4,39,D,True,BACKGROUND_OR_STALE,29cdb2f39363169e9d8ccae94830c6d42e8f248bc07018c8e60cf4b953c89692,truth-v1.0.0,1,go4worldbusiness
77246e0a3e5beaf48bb035ff6635d981,go4worldbusiness,B2B_MARKETPLACE_RFQ,MATCHA,MATCHA,RFQ_OR_BUY_OFFER,Wanted : Matcha Powder,"VERIFIED Jun-26-26 Wanted : Matcha Powder Buyer From India Quantity Required: 4,000 Kilograms Payment Terms: L/C Or T/T Destination: India Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Matcha Powder Specifications : Food Grade Matcha Powder For Drinks, Beverages, Snacks And Fast Food Also Share Some Relevant Information Of Matcha Powder Like Different Varieties With Use\ Application, Packing Size In Bulk And Pricing Quantity Required : 4000 Kilogram/Kilograms Shipping Terms : CIF Destination Port : India Payment Terms : L/C Or T/T Looking for suppliers from : Worldwide Contact : Janak Sharma Buyer Of Matcha Tea",True,,True,,Janak Sharma Buyer Of Matcha Tea,India Quantity Required,,,,,,,2026-08-28T06:04:52+00:00,,UNKNOWN,https://www.go4worldbusiness.com/buylead/view/1307360/wanted-:-matcha-powder.html,https://www.go4worldbusiness.com/buyers/matcha.html,"VERIFIED Jun-26-26 Wanted : Matcha Powder Buyer From India Quantity Required: 4,000 Kilograms Payment Terms: L/C Or T/T Destination: India Looking for suppliers from: Worldwide Inquire Now Add to Favorites Product Description Please quote for the following wholesale product requirement - Product Name: Matcha Powder Specifications : Food Grade Matcha Powder For Drinks, Beverages, Snacks And Fast Food Also Share Some Relevant Information Of Matcha Powder Like Different Varieties With Use\ Application, Packing Size In Bulk And Pricing Quantity Required : 4000 Kilogram/Kilograms Shipping Terms : CIF Destination Port : India Payment Terms : L/C Or T/T Looking for suppliers from : Worldwide Contact : Janak Sharma Buyer Of Matcha Tea",00a175fc109b848b59a514d3d508f6f448cc21d719e4cf29533068e590940ecc,LIVE,UNVERIFIED_MARKETPLACE_POST,platform_login_or_membership,35,0,0,4,39,D,True,BACKGROUND_OR_STALE,002030efdb7c7ce484367736a3017eb9fe2959b4886a3a080a969d89b7340e34,truth-v1.0.0,2,go4worldbusiness
