source_code,category_code,record_kind,exact_product_match,qualification_status,title,description_raw,buyer_name_raw,buyer_name_span,contact_person_raw,contact_person_span,buyer_country_raw,buyer_country_span,quantity_raw,quantity_span,published_at_raw,published_at,published_at_span,contact_gate,source_url,listing_url,verification_status,observed_at,snapshot_sha256,snapshot_path,data_mode
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Manufacturers Wanted for Cumin Seeds for India,"Manufacturers Wanted for Cumin Seeds for India We invite manufacturers and established exporters to offer cumin seeds. State botanical variety, origin and crop season, whole/ground or tea grade, moisture, foreign matter and volatile-oil or extr... Tags: Cumin Seeds | Cumin Seeds Supplier | Cumin Seeds Manufacturer | Bulk Cumin Seeds | Cumin Seeds Exporter This buyer wants to receive quotations only from Premium Members . India Posted on: 27 Aug 2026 Contact Buyer now",,,,,India,India,,,27 Aug 2026,2026-08-27,Posted on: 27 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Manufacturers-Wanted-For-Cumin-Seeds-For-India-3871703.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Buying Black Tea for France,"Buying Black Tea for France We are evaluating producers of black tea for shipment to France. State botanical variety, origin and crop season, whole/ground or tea grade, moisture, foreign matter and volatile-oil or extract val... Tags: Black Tea | Black Tea Supplier | Black Tea Manufacturer This buyer wants to receive quotations only from Premium Members . France Posted on: 27 Aug 2026 Contact Buyer now",,,,,France,France,,,27 Aug 2026,2026-08-27,Posted on: 27 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Buying-Black-Tea-For-France-3871695.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Seeking Supplier for Ready-To-Drink Tea Beverages for Afghanistan,Seeking Supplier for Ready-To-Drink Tea Beverages for Afghanistan The following ready-to-drink tea beverages requirement is being circulated to a limited group of manufacturers for technical and commercial comparison. Required technical information: Please state... Tags: Ready To Drink Tea Beverages | Ready To Drink Tea Beverages Supplier | Ready To Drink Tea Beverages Manufacturer This buyer wants to receive quotations only from Premium Members . Afghanistan Posted on: 20 Aug 2026 Contact Buyer now,,,,,Afghanistan,Afghanistan,,,20 Aug 2026,2026-08-20,Posted on: 20 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Seeking-Supplier-For-Ready-To-Drink-Tea-Beverages-For-Afghanistan-3870907.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Buyer Seeking Qualified Exporters of Arizona Iced Tea,"Buyer Seeking Qualified Exporters of Arizona Iced Tea This requirement supports an upcoming customer program, so consistent quality, clear documentation, and reliable delivery performance are important. The current requirement is specifically for ariz... Tags: Arizona Iced Tea | Arizona Iced Tea Supplier | Arizona Iced Tea Manufacturer | Bulk Arizona Iced Tea | Arizona Iced Tea Exporter | Arizona Iced Tea Wholesale | Arizona Iced Tea Quotation | Arizona Iced Tea Importer | Commercial Arizona Iced Tea Supply This buyer wants to receive quotations only from Premium Members . UAE Posted on: 10 Aug 2026 Contact Buyer now",,,,,UAE,UAE,,,10 Aug 2026,2026-08-10,Posted on: 10 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Buyer-Seeking-Qualified-Exporters-Of-Arizona-Iced-Tea-3869041.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Heathscooneydoo,Heathscooneydoo I need dzl scoobbveyy sbax and spice and mix and tea and *0 *5 and spice mix weed dragons Stevie. Money issues and hot dogs for belts ville no dabonnah allowed no hot now eat ass n scrumptious Tags: What USA Posted on: 06 Aug 2026 Contact Buyer now,,,,,USA,USA,,,06 Aug 2026,2026-08-06,Posted on: 06 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Heathscooneydoo-3868375.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,100 % Premium Qualty Green Tea,100 % Premium Qualty Green Tea We are in need of **0 % premium qualty green tea from good seller. Product Informatiom **0 % Premium Qualty Green Tea with smooth and great taste. Feel free to contact us for more d... Tags: Tea Benin Posted on: 05 Aug 2026 Contact Buyer now,,,,,Benin,Benin,,,05 Aug 2026,2026-08-05,Posted on: 05 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/100-Premium-Qualty-Green-Tea-3862877.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Project Purchase of Matcha Tea,"Project Purchase of Matcha Tea A buyer based in Pakistan requires reliable supply of matcha tea for an upcoming order. Please state grade, origin, harvest date, moisture, organic certification, pack size, and shelf life. Competi... Tags: Matcha Tea | Matcha Tea Supplier | Matcha Tea Manufacturer | Matcha Tea Exporter | Bulk Matcha Tea | Wholesale Matcha Tea | Matcha Tea Price | Import Matcha Tea | Matcha Tea Distributor | Matcha Tea Quotation This buyer wants to receive quotations only from Premium Members . Pakistan Posted on: 14 Jul 2026 Contact Buyer now",,,,,Pakistan,Pakistan,,,14 Jul 2026,2026-07-14,Posted on: 14 Jul 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Project-Purchase-Of-Matcha-Tea-3860863.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Long-Term Supply Inquiry for BAGS,Long-Term Supply Inquiry for BAGS Kindly share your best offer for BAGS. We prefer suppliers who can support regular shipments and provide clear documentation with the offer. individually wrapped or bulk-packed tea bags can be cons... Tags: Bags | Other Bags | Bags Supplier This buyer wants to receive quotations only from Premium Members . Kenya Posted on: 14 Aug 2026 Contact Buyer now,,,,,Kenya,Kenya,,,14 Aug 2026,2026-08-14,Posted on: 14 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Long-Term-Supply-Inquiry-For-BAGS-3858703.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Bulk Buying Request for Bags,"Bulk Buying Request for Bags We are checking reliable exporters who can supply Bags. Please note the following before quoting: individually wrapped or bulk-packed tea bags can be considered please mention tea grade, flavor op... This buyer wants to receive quotations only from Premium Members . Vietnam Posted on: 14 Jul 2026 Contact Buyer now",,,,,Vietnam,Vietnam,,,14 Jul 2026,2026-07-14,Posted on: 14 Jul 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Bulk-Buying-Request-For-Bags-3858559.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Buyer Seeking Tea Bags,"Buyer Seeking Tea Bags We want to compare manufacturers and exporters dealing in Tea Bags. Main preference: individually wrapped or bulk-packed tea bags can be considered please mention tea grade, flavor options, and sh... Tags: Tea Bags | Food Supplier | Bulk Food Products | Import Food This buyer wants to receive quotations only from Premium Members . Uganda Posted on: 15 Aug 2026 Contact Buyer now",,,,,Uganda,Uganda,,,15 Aug 2026,2026-08-15,Posted on: 15 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Buyer-Seeking-Tea-Bags-3858471.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Bulk Sourcing Request for Tea,Bulk Sourcing Request for Tea Our company is checking export options for Tea for an upcoming purchase cycle. Please quote with export handling suitable for Russia. Both manufacturers and experienced exporters may contact us wi... Tags: Tea Supplier | Tea Export This buyer wants to receive quotations only from Premium Members . Russia Posted on: 15 Aug 2026 Contact Buyer now,,,,,Russia,Russia,,,15 Aug 2026,2026-08-15,Posted on: 15 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Bulk-Sourcing-Request-For-Tea-3856849.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
tradekey,TEA,DIRECT_BUY_REQUIREMENT,True,CANDIDATE_NEEDS_CLEANING,Regular Supply Inquiry for Tea pot,"Regular Supply Inquiry for Tea pot Kindly quote for Tea pot with clear product details, packing information, and available shipment schedule. Our current demand is connected with buyers in Saudi Arabia. Price is important, but cons... Tags: Tea Pot | Tea Pot Supplier | Tea Pot Export This buyer wants to receive quotations only from Premium Members . Saudi Arabia Posted on: 14 Aug 2026 Contact Buyer now",,,,,Saudi Arabia,Saudi Arabia,,,14 Aug 2026,2026-08-14,Posted on: 14 Aug 2026,platform_login_or_membership,https://importer.tradekey.com/buyoffer/Regular-Supply-Inquiry-For-Tea-Pot-3856845.html,https://www.tradekey.com/tea-buyer/,UNVERIFIED_MARKETPLACE_POST,2026-08-28T07:34:03+00:00,ea0b1f3f60fff12f082d72611c741918fc9ea0b7c6330ffd330844c8d6d29071,E:\贵客松-买家猎手\pipeline\data_b2b_public_v3\20260828T073331Z\raw\tradekey_TEA_ea0b1f3f60ff.html,LIVE
