source_code,category_code,query_slug,record_kind,title,description_raw,buyer_country_raw,buyer_country_code,buyer_identity_claim_raw,published_at_raw,published_at,contact_gate,source_url,listing_url,verification_status,observed_at,snapshot_sha256,data_mode,as_of,age_days,exact_product_match,origin_fit_gap,demand_evidence_score_25,buyer_identity_score_25,recency_score_25,contactability_score_25,four_dimension_score_100,audit_decision,audit_reason_zh
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,Looking for Matcha Supplier,"Hello, My name is Robert Pasker, and I am the CEO of Go Matcha Go, on Ohio Green tea distribution company. I am interested in trying your matcha . We are looking to import at least 20kgs of tea within the next few weeks. I am testing Matcha for taste, color, and consistency. We are looking to build relationships with matcha suppliers. We need matcha that is Bright green, soluble and not overly",United States,US,Robert Pasker,"23 Apr, 2014",2014-04-23,premium_membership_or_login,https://importer.ec21.com/buy-lead/Looking_for_strong_Matcha_strong--23557662.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE,2026-08-28,4510,true,false,25,25,0,10,60,WATCHLIST_STALE,发布超过365天，只保留历史研究价值
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,Buy Buy: Matcha Green Tea Powder Organic USDA,I'm a US company seeking Organic Matcha Green Tea Powder for private label from a United States supplier. Please contact me if you meet these requirements.,United States,US,,"17 May, 2014",2014-05-17,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Buy_strong_Matcha_strong--23576234.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE,2026-08-28,4486,true,false,25,10,0,10,45,WATCHLIST_STALE,发布超过365天，只保留历史研究价值
ec21,MATCHA,matcha,DIRECT_BUY_REQUIREMENT,Buy Caffe Latte,"Looking for Maeil caffe latte drinks, primarily Caramel Macchiato and Matcha Latte. Please let me know what your price is and the number of items per pack!",United States,US,,"15 Jul, 2015",2015-07-15,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Caffe_Latte--23834365.html,https://importer.ec21.com/matcha.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:40+00:00,d9af4621dcd01c6a59eb13af09e30f90fb6525af7a5fd36dc3c3b6f5cefa2a1c,LIVE,2026-08-28,4062,true,false,20,10,0,10,40,WATCHLIST_STALE,发布超过365天，只保留历史研究价值
ec21,BLUEBERRY,blueberry,DIRECT_BUY_REQUIREMENT,Buy Dried BLueberry,"Hi, I am looking for dried blueberry that doesn't need to be transported in refrigerated container. If you have this prodct, please, send email to ammfergie----hotmail.com thank you!",United States,US,,"4 Mar, 2014",2014-03-04,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Dried_strong_BLueberry_strong--23512834.html,https://importer.ec21.com/blueberry.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:43+00:00,b9ea02c3920201a82f89a2c217d4f48ac99829308995848fb0ea72b531e4db9a,LIVE,2026-08-28,4560,true,false,20,10,0,10,40,WATCHLIST_STALE,发布超过365天，只保留历史研究价值
ec21,CHILI,chili,DIRECT_BUY_REQUIREMENT,We Buy Korean Red Pepper Powder / Chili Powder,"Dear Sir/Madam, We are looking to purchase Korean red pepper powder. Please refer to the details below: * Product: Korean Red Pepper Powder / Chili Powder * Quantity: To be confirmed * Specifications: - Food-grade red pepper powder - Suitable for restaurant use and wholesale food distribution - Detailed product specifications, packaging options, shelf life, and relevant food safety certificates a",United States,US,,"10 Jun, 2026",2026-06-10,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Korean_Red_Pepper--24461131.html,https://importer.ec21.com/chili.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:47+00:00,819f0851430cf42dc09954c48fabfaac0dbfc014c1b7f6ee38102b9aace28a4a,LIVE,2026-08-28,79,true,true,25,10,25,10,70,GAP_ORIGIN_REQUIREMENT,需求明确指定韩国产品，贵州产品需先确认可否替代或贴牌
ec21,CHILI,chili,DIRECT_BUY_REQUIREMENT,We Buy Gochujang (Korean Red Chili Paste),We're looking for a supplier/manufacturer of Gochujang (Korean Red Chili Paste). - Item Name: Gochujang - Details: Korean red chili paste - Trade Term: FOB - Quantity: To be determined (TBD),United States,US,,"19 Aug, 2025",2025-08-19,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Gochujang_Korean_Red--24449921.html,https://importer.ec21.com/chili.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:47+00:00,819f0851430cf42dc09954c48fabfaac0dbfc014c1b7f6ee38102b9aace28a4a,LIVE,2026-08-28,374,true,true,25,10,10,10,55,WATCHLIST_STALE,发布超过365天，只保留历史研究价值
ec21,CHILI,chili,DIRECT_BUY_REQUIREMENT,We Buy Korean Red Pepper Powder,"Dear Sir/Madam, We are looking to purchase Korean red pepper powder. Please refer to the details below: - Product: Korean Red Pepper Powder / Chili Powder - Quantity: To be confirmed - Specifications: * Food-grade red pepper powder * Suitable for import and distribution * Detailed product specifications, packaging options, shelf life, and certificates are requested Interested suppliers are kindly",United States,US,,"10 Jun, 2026",2026-06-10,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Korean_Red_Pepper--24461130.html,https://importer.ec21.com/chili.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:47+00:00,819f0851430cf42dc09954c48fabfaac0dbfc014c1b7f6ee38102b9aace28a4a,LIVE,2026-08-28,79,true,true,25,10,25,10,70,GAP_ORIGIN_REQUIREMENT,需求明确指定韩国产品，贵州产品需先确认可否替代或贴牌
ec21,CHILI,chili,DIRECT_BUY_REQUIREMENT,We Buy Seasonings and Condiments,"We're looking for Salt, pepper, sugar, honey, vinegar, soy sauce, gochujang (Korean chili paste), doenjang (Korean soybean paste), red pepper powder, cooking oil, herbs, spices, various types of soy sauce, and other seasoning and condiment products. - Terms and Conditions: We are looking for Korean domestic companies that can supply high-quality and reliable products. Preparations for export have",United States,US,,"4 Nov, 2024",2024-11-04,premium_membership_or_login,https://importer.ec21.com/buy-lead/We_Buy_Seasonings_and_Condiments--24445943.html,https://importer.ec21.com/chili.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:47+00:00,819f0851430cf42dc09954c48fabfaac0dbfc014c1b7f6ee38102b9aace28a4a,LIVE,2026-08-28,662,true,true,20,10,10,10,50,WATCHLIST_STALE,发布超过365天，只保留历史研究价值
ec21,CHILI,chili,DIRECT_BUY_REQUIREMENT,Buy All Kinds Paper Waste/ Paper Scrap From World Wide Suppliers,"Chili , Brazil, Guyana, , Panama, Kuracao, Costa Rica, Central America, Gautemala, South Africa, East Africa, West Africa Middle Eastern countries like Saudi Arabia, ubai, Qatar, Oman, Kuwait, Bahrain, as well as other safe African countries of the world We are the the direct buyer. We have got huge requirements every month. We want to buy in containerized only no bulk shipments. We are very serio",United States,US,,"8 Sep, 2014",2014-09-08,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_All_Kinds_Paper_Waste--23666822.html,https://importer.ec21.com/chili.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:47+00:00,819f0851430cf42dc09954c48fabfaac0dbfc014c1b7f6ee38102b9aace28a4a,LIVE,2026-08-28,4372,true,false,20,10,0,10,40,WATCHLIST_STALE,发布超过365天，只保留历史研究价值
ec21,CHILI,chilli,DIRECT_BUY_REQUIREMENT,Buy Red Dry Chillies,"I am searching for a good supplier of dried red chilli es, the product is required for further production of spices. Product type: Red Chilli Style: Dried Shape: Stick Weight: 25 Drying Process: AD Color: Red Shelf Life: 1yr",United States,US,,"17 May, 2015",2015-05-17,premium_membership_or_login,https://importer.ec21.com/buy-lead/Buy_Red_Dry_strong_Chilli--23807113.html,https://importer.ec21.com/chilli.html,UNVERIFIED_MARKETPLACE_POST,2026-08-27T20:49:49+00:00,22923656c91bc8394131ba23aa45252ed796eb2b1c3c3e5291641d666fef723e,LIVE,2026-08-28,4121,true,false,25,10,0,10,45,WATCHLIST_STALE,发布超过365天，只保留历史研究价值
