来源平台,记录类型,是否直接需求,标题,买家/采购机构,国家,供应商/历史成交方,产品关键词,产品形态,发布日期,截止时间,需求描述,数量,试单数量,持续需求量,采购频率,金额,等级/认证/OEM,用途,包装,温控要求,报价要求,MOQ要求,样品要求,贸易术语,目的地,交期要求,紧急程度,长期意向,验证状态,产品匹配状态,联系门槛,原始来源链接,说明链接,附件链接,抓取时间,快照SHA256,备注
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Wanted : Tea Like Matcha Tea,Wanted : Tea Like Matcha Tea,US,,matcha | tea,,Oct-04-23,,Please quote for the following wholesale product requirement - Product Name: Tea Specifications : Type: Matcha Tea Packaging Terms : 100g Pack Quantity Required : MOQ Shipping Terms : CIF Destination Port : United States Payment Terms : L/C Looking for suppliers from : Worldwide Contact : Andrew,Not specified Payment Terms: L/C Destination: United States Looking for supplier,,,,,,,100g Pack Quantity Required : MOQ Shipping Terms : CIF Destination Port : United States Payment Terms : L/C Looking for,,,,,CIF,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/buylead/view/1099328/wanted-:-tea-like-matcha-tea.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Digital Edge Merchants,Digital Edge Merchants,US,,matcha | tea,,Jul-30-24,,Teas and especially matcha tea,,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/4237453/digital-edge-merchants.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Christina Mcalpin,Christina Mcalpin,US,,matcha | tea,,Jul-13-21,,Tea Like Black Matcha Tea,,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3364437/christina-mcalpin.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Joshua Stancle,Joshua Stancle,US,,matcha | tea,,Aug-09-19,,"Matcha green tea, CTC tea, organic tea",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/1841826/joshua-stancle.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Wmbr Corp.,Wmbr Corp.,US,,matcha | tea,powder,Feb-12-20,,"Matcha green tea powder, CTC tea, green tea powder, tea powder",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/2802895/wmbr-corp-.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Opportunity Knocks Inc.,Opportunity Knocks Inc.,US,,matcha | tea,powder,Aug-09-19,,"Green matcha tea powder, green tea, tea powder",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/1841842/opportunity-knocks-inc-.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Virginia Classic Usa Llc,Virginia Classic Usa Llc,US,,matcha | tea,,May-05-22,,"3 In 1 Instant Coffee, 2 In 1 Instant Coffee, Instant Cappuccino Mix, Instant Black Coffee, Instant Black Coffee With Sugar, Hot Chocolate, Black Tea, Green Tea, Lemon Tea, Cardamom Tea, Ginger Tea, Masala Tea",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3613838/virginia-classic-usa-llc.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Allthings,Allthings,US,,matcha | tea | food,powder,Feb-21-24,,"Tapioca starch, coconut oil, fish meal, hatching eggs, broiler eggs, cobb 500 broiler, ross 308, brown table egg, table egg, egg, white table egg, coffee beans, canned tuna fish, yellow corn, corn starch, soybean, dried fish, cardamom, diapers, honey, natural honey, cocoa bean, a4 copy paper, copy paper, double a copy paper, sugar, flour, wheat flour, frozen chicken, chicken feet, chicken wings, used laptops, massey ferguson tractors, tractor, energy drink, kidney beans, smoked catfish, wood pellet, cocoa powder, hpmc, hydroxypropyl methylcellulose, glyphosate, chlorine tablets, toyota hilux, hard copy bond paper, matcha green tea",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/4117320/allthings.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Ka Services,Ka Services,US,,matcha | tea | food,powder,Oct-06-23,,"Tapioca starch, coconut oil, fish meal, hatching eggs, broiler eggs, cobb 500 broiler, ross 308, brown table egg, table egg, egg, white table egg, coffee beans, canned tuna fish, yellow corn, corn starch, soybean, dried fish, cardamom, diapers, honey, natural honey, cocoa bean, a4 copy paper, copy paper, double a copy paper, sugar, flour, wheat flour, frozen chicken, chicken feet, chicken wings, used laptops, massey ferguson tractors, tractor, energy drink, kidney beans, smoked catfish, wood pellet, cocoa powder, hpmc, hydroxypropyl methylcellulose, glyphosate, chlorine tablets, pick-up truck, hard copy bond paper, matcha green tea",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/4015445/ka-services.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Steve,Steve,US,,matcha | tea,,Nov-08-20,,All Agrculture Products,,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3120279/steve.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Eko Iko,Eko Iko,US,,matcha | tea,,Mar-22-21,,"Natural organic leaves, powders, extracts, ticntures, like soursop, graviola, fresh fruits like guava, mango, lime, noni, neem, moringa, lemongrass, ginger grass, mimosa hostilis",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3256094/eko-iko.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Blueyezone,Blueyezone,US,,matcha | tea | food,,May-04-21,,"Rice, Oil, Seeds, Nut, Flour, Corn, Wheat, Starch, Beans, Fruit, Meal, Feed, Chicken, Sugar, Lobster, Crab, Prawns, Shrimp, Fish, Sunflower Oil, Soybeans Oil, Vegetable Oil, Palm Oil, Corn Oil, Canola Oil, Cooking Oil, Edible Oil, Rapeseed Oil, Basmati Rice, Jasmine, Parboiled, Maize, Onion, Garlic, Ginger, Egg, Lentils, Raisin, Pulses, Buckwheat, Cardamom, Yellow Corn, White Corn, Chickpeas, Split Pea, Corn Millet, Grain, Kidney Beans, Coffee Beans, Cacao, Green Mung Beans, Pinto, Soybeans, Corn Flour, Wheat Flour, Apple, Avocado, Banana, Lemon, Limes, Mango, Orange, Potato Starch, Tapioca Starch, Almond Nut, Pistachio, Walnut, Cashew, Betel, Brazil, Chestnuts, Ginkgo, Hazel, Macadamia, Nutmeg, Peanuts, Pecan, Pine, Apricot, Pili, Black Pepper, Canary, Canola, Rapeseed, Caraway, Castor, Chia, Coriander, Cotton, Cumin, Flax, Jatropha, Mustard, Niger, Perilla, Pumpkin, Quinoa, Safflower, Sesame, Sunflower, Moringa,",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3298949/blueyezone.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Clarence,Clarence,US,,matcha | tea | food,,Aug-04-21,,"Rice, Oil, Seeds, Nut, Flour, Corn, Wheat, Starch, Beans, Fruit, Meal, Feed, Chicken, Sugar, Lobster, Crab, Prawns, Shrimp, Fish, Sunflower Oil, Soybeans Oil, Vegetable Oil, Palm Oil, Corn Oil, Canola Oil, Cooking Oil, Edible Oil, Rapeseed Oil, Basmati Rice, Jasmine Rice, Parboiled, Maize, Onion, Garlic, Ginger, Egg, Lentils, Raisin, Pulses, Buckwheat, Cardamom, Yellow Corn, White Corn, Chickpeas, Split Pea, Corn Millet, Grain, Kidney Beans, Coffee Beans, Cacao, Green Mung Beans, Pinto, Soybeans, Corn Flour, Wheat Flour, Apple, Avocado, Banana, Lemon, Limes, Mango, Orange, Potato Starch, Tapioca Starch, Almond Nut, Pistachio, Walnut, Cashew, Betel, Brazil, Chestnuts, Ginkgo, Hazel, Macadamia, Nutmeg, Peanuts, Pecan, Pine, Apricot, Pili, Black Pepper, Canary, Canola, Rapeseed, Caraway Seed, Castor Seed, Chia Seed, Coriander Seed, Cotton, Cumin Seed, Flax Seed, Jatropha Oil, Mustard Seed, Niger Seed, Perilla, Pumpkin, Q",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3383923/clarence.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,S I W U,S I W U,US,,matcha | tea | food,,Jan-30-24,,"Ginger, turmeric, moringa, chilli, cassava, griffonia, artemisia, voacanga, cola (nitida, accuminata, bitter cola), rocinodindron (djansang), strophantus, tetrapleura tetraptera and many more",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/4098262/s-i-w-u.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Elzie Monroe,Elzie Monroe,US,,matcha | tea | food,,Aug-21-22,,"Rice, Oil, Seeds, Nut, Flour, Corn, Wheat, Starch, Beans, Fruit, Meal, Feed, Chicken, Sugar, Lobster, Crab, Prawns, Shrimp, Fish, Sunflower Oil, Soybeans Oil, Vegetable Oil, Palm Oil, Corn Oil, Canola Oil, Cooking Oil, Edible Oil, Rapeseed Oil, Basmati Rice, Jasmine Rice, Parboiled, Maize, Onion, Garlic, Ginger, Egg, Lentils, Raisin, Pulses, Buckwheat, Cardamom, Yellow Corn, White Corn, Chickpeas, Split Pea, Corn Millet, Grain, Kidney Beans, Coffee Beans, Cacao, Green Mung Beans, Pinto, Soybeans, Corn Flour, Wheat Flour, Apple, Avocado, Banana, Lemon, Limes, Mango, Orange, Potato Starch, Tapioca Starch, Almond Nut, Pistachio, Walnut, Cashew, Betel, Brazil, Chestnuts, Ginkgo, Hazel, Macadamia, Nutmeg, Peanuts, Pecan, Pine, Apricot, Pili, Black Pepper, Canary, Canola, Rapeseed, Caraway Seed, Castor Seed, Chia Seed, Coriander Seed, Cotton, Cumin Seed, Flax Seed, Jatropha Oil, Mustard Seed, Niger Seed, Perilla, Pumpkin See",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3699421/elzie-monroe.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Seungkyun Kim,Seungkyun Kim,US,,matcha | tea | food,,Aug-03-21,,"Rice, Oil, Seeds, Nut, Flour, Corn, Wheat, Starch, Beans, Fruit, Meal, Feed, Chicken, Sugar, Lobster, Crab, Prawns, Shrimp, Fish, Sunflower Oil, Soybeans Oil, Vegetable Oil, Palm Oil, Corn Oil, Canola Oil, Cooking Oil, Edible Oil, Rapeseed Oil, Basmati Rice, Jasmine Rice, Parboiled, Maize, Onion, Garlic, Ginger, Egg, Lentils, Raisin, Pulses, Buckwheat, Cardamom, Yellow Corn, White Corn, Chickpeas, Split Pea, Corn Millet, Grain, Kidney Beans, Coffee Beans, Cacao, Green Mung Beans, Pinto, Soybeans, Corn Flour, Wheat Flour, Apple, Avocado, Banana, Lemon, Limes, Mango, Orange, Potato Starch, Tapioca Starch, Almond Nut, Pistachio, Walnut, Cashew, Betel, Brazil, Chestnuts, Ginkgo, Hazel, Macadamia, Nutmeg, Peanuts, Pecan, Pine, Apricot, Pili, Black Pepper, Canary, Canola, Rapeseed, Caraway Seed, Castor Seed, Chia Seed, Coriander Seed, Cotton, Cumin Seed, Flax Seed, Jatropha Oil, Mustard Seed, Niger Seed, Perilla, Pumpkin, Q",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3383727/seungkyun-kim.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Sally Sweets,Sally Sweets,US,,matcha | blueberry | tea,powder,Apr-18-21,,"Spices & herbs, basil, bay leaves, cayenne, chili powder , cinnamon ground and stick, green cardamom, cloves, cumin, curry powder, garlic powder, ginger, ground, nutmeg. ground, onion powder, oregano, black peppercorns (whole. seriously, buy a pepper grinder and grind your own. red pepper flakes, rosemary, saffron, tarragon, thyme, vanilla extract and beans , beans, chickpeas,cocoa beans ,coffee beans,kidney beans,lentils ,mung beans,soybeans ,vanilla beans, grain, barley , buckwheat,corn,millet,oats,rice,rye,sorghum,wheat, nuts & kernels almond ,apricot kernels,betel nuts,brazil nuts,cashew nuts,chestnuts,ginkgo nuts,hazelnuts ,macadamia nuts,peanuts,pecan nuts,pine nuts,pistachio nuts,pumpkin kernels,sunflower kernels,walnuts, fresh vegetables,fresh asparagus,fresh broccoli,fresh burdock,fresh cabbages,fresh carrots,fresh cassava,fresh cauliflower,fresh garlic,fresh ginger,fresh okra,fresh onions,fresh peppers,fresh potatoes,fresh radish,fresh sweet potatoes,fresh taro,fresh to",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3283683/sally-sweets.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Jayvee A Rose,Jayvee A Rose,US,,matcha | tea | food,,Sep-12-22,,"Rice, Oil, Seeds, Nut, Flour, Corn, Wheat, Starch, Beans, Fruit, Meal, Feed, Chicken, Sugar, Lobster, Crab, Prawns, Shrimp, Fish, Sunflower Oil, Soybeans Oil, Vegetable Oil, Palm Oil, Corn Oil, Canola Oil, Cooking Oil, Edible Oil, Rapeseed Oil, Basmati Rice, Jasmine Rice, Parboiled, Maize, Onion, Garlic, Ginger, Egg, Lentils, Raisin, Pulses, Buckwheat, Cardamom, Yellow Corn, White Corn, Chickpeas, Split Pea, Corn Millet, Grain, Kidney Beans, Coffee Beans, Cacao, Green Mung Beans, Pinto, Soybeans, Corn Flour, Wheat Flour, Apple, Avocado, Banana, Lemon, Limes, Mango, Orange, Potato Starch, Tapioca Starch, Almond Nut, Pistachio, Walnut, Cashew, Betel, Brazil, Chestnuts, Ginkgo, Hazel, Macadamia, Nutmeg, Peanuts, Pecan, Pine, Apricot, Pili, Black Pepper, Canary, Canola, Rapeseed, Caraway Seed, Castor Seed, Chia Seed, Coriander Seed, Cotton, Cumin Seed, Flax Seed, Jatropha Oil, Mustard Seed, Niger Seed, Perilla, Pumpkin See",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3716897/jayvee-a-rose.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Phil Inc,Phil Inc,US,,blueberry,,Jan-18-20,,"Agricultural products like honey, fruits (berries, apricot, grapes), vegetables, nuts, dried fruits",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/2778765/phil-inc.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Autumn Marchand,Autumn Marchand,US,,blueberry | blueberries,fruit,Sep-01-20,,Frozen and fresh organic blueberries,,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3047542/autumn-marchand.html,,,,,不能单独证明当前采购需求
